DataType,Size,Time(ms),Comparisons,Assignments,ArrayCopies
Random,100,0,037125,561,2577,96
Sorted,100,0,007750,198,198,0
Reverse,100,0,029500,491,5148,99
NearlySorted,100,0,014541,483,483,0
Random,500,0,213916,3891,64096,493
Sorted,500,0,031000,998,998,0
Reverse,500,0,127792,3549,125748,499
NearlySorted,500,0,221917,9123,9123,0
Random,1000,0,280375,8750,252703,989
Sorted,1000,0,061709,1998,1998,0
Reverse,1000,0,355667,8088,501498,999
NearlySorted,1000,0,644250,27984,27984,0
Random,2000,0,722125,19471,1018647,1991
Sorted,2000,0,121834,3998,3998,0
Reverse,2000,0,973125,18165,2002998,1999
NearlySorted,2000,0,916583,119734,119734,0
Random,5000,2,947000,55315,6219607,4991
Sorted,5000,0,132167,9998,9998,0
Reverse,5000,5,196000,52323,12507498,4999
NearlySorted,5000,0,928000,797146,797146,0
Random,10000,10,100625,120505,24945875,9988
Sorted,10000,0,291916,19998,19998,0
Reverse,10000,17,278125,114632,50014998,9999
NearlySorted,10000,1,628375,3011710,3011710,0
