DataType,Size,Time(ms),Comparisons,Swaps,Assignments
Random,100,0,087375,4952,92,276
Sorted,100,0,002291,99,0,0
Reverse,100,0,085042,4951,50,150
NearlySorted,100,0,074958,4959,5,15
Random,500,1,008125,124751,496,1488
Sorted,500,0,009250,499,0,0
Reverse,500,0,284000,124751,250,750
NearlySorted,500,0,272375,124753,25,75
Random,1000,1,122959,499503,995,2985
Sorted,1000,0,018209,999,0,0
Reverse,1000,1,150083,499501,500,1500
NearlySorted,1000,0,276875,499526,50,150
Random,2000,1,081375,1999002,1991,5973
Sorted,2000,0,035750,1999,0,0
Reverse,2000,1,139583,1999001,1000,3000
NearlySorted,2000,1,031625,1999001,100,300
Random,5000,6,554042,12497501,4987,14961
Sorted,5000,0,086584,4999,0,0
Reverse,5000,6,944000,12497501,2500,7500
NearlySorted,5000,6,063166,12497501,250,750
Random,10000,24,696208,49995001,9991,29973
Sorted,10000,0,185000,9999,0,0
Reverse,10000,28,954916,49995001,5000,15000
NearlySorted,10000,25,096958,49995018,500,1500
